GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
taxManager,it.unimol.taxManager.exception,JwtTokenExceptionHandler,57,3,3,0,12,1,4,1,2,1
taxManager,it.unimol.taxManager.exception,JwtTokenException,3,7,0,0,1,3,1,1,1,1
taxManager,it.unimol.taxManager.exception,ExternalServiceException,10,0,0,0,4,0,2,0,2,0
taxManager,it.unimol.taxManager.exception,InternalExceptionHandler,27,3,0,0,4,1,1,1,1,1
taxManager,it.unimol.taxManager.exception,JwtTokenException.Reason,0,15,0,0,0,2,0,1,0,1
taxManager,it.unimol.taxManager.exception,ExternalExceptionHandler,94,3,10,0,19,1,7,1,2,1
taxManager,it.unimol.taxManager.messaging,UserDeletedConsumer,43,9,4,0,6,4,3,1,1,1
taxManager,it.unimol.taxManager.messaging,RoleAssignedConsumer,31,6,2,0,5,3,2,1,1,1
taxManager,it.unimol.taxManager.messaging,UserUpdatedConsumer,39,6,4,0,5,3,3,1,1,1
taxManager,it.unimol.taxManager.messaging,UserCreatedConsumer,31,6,2,0,5,3,2,1,1,1
taxManager,it.unimol.taxManager.service,StudentService,382,109,40,8,74,32,30,5,7,4
taxManager,it.unimol.taxManager.service,NotificationSender,109,15,14,0,18,6,8,1,1,1
taxManager,it.unimol.taxManager.service,AdminService,375,513,66,73,52,63,52,33,6,8
taxManager,it.unimol.taxManager.service,TaxService,9,188,7,23,4,42,7,13,0,5
taxManager,it.unimol.taxManager.client.PagoPA.decoder,PagoPADecoder,76,8,14,0,15,2,8,1,1,1
taxManager,it.unimol.taxManager.dto,TokenJWTDTO,6,0,0,0,1,0,1,0,1,0
taxManager,it.unimol.taxManager.dto,IseeUpdateDTO,0,6,0,0,0,1,0,1,0,1
taxManager,it.unimol.taxManager.dto,StudentDTO,0,9,0,0,0,1,0,1,0,1
taxManager,it.unimol.taxManager.dto,UpdateDTO,0,6,0,0,0,1,0,1,0,1
taxManager,it.unimol.taxManager.dto,PagoPATaxDTO,21,0,0,0,1,0,1,0,1,0
taxManager,it.unimol.taxManager.dto,UpdateBracketsDTO,0,30,0,0,0,1,0,1,0,1
taxManager,it.unimol.taxManager.dto,BracketsDTO,0,33,0,0,0,1,0,1,0,1
taxManager,it.unimol.taxManager.dto,TaxDTO,0,27,0,0,0,1,0,1,0,1
taxManager,it.unimol.taxManager.dto,StudentStatusDTO,9,0,0,0,1,0,1,0,1,0
taxManager,it.unimol.taxManager.dto,StudentProgressDTO,9,0,0,0,1,0,1,0,1,0
taxManager,it.unimol.taxManager.dto,StudentDetailsDTO,15,0,0,0,1,0,1,0,1,0
taxManager,it.unimol.taxManager.dto,LoginRequestDTO,9,0,0,0,1,0,1,0,1,0
taxManager,it.unimol.taxManager.dto,PagoPaDetailsDTO,0,12,0,0,0,1,0,1,0,1
taxManager,it.unimol.taxManager.config,RabbitMQConfig,0,68,0,0,0,15,0,12,0,12
taxManager,it.unimol.taxManager.config,OpenAPIConfig,0,42,0,0,0,14,0,2,0,2
taxManager,it.unimol.taxManager,TaxManagerApplication,5,3,0,0,2,1,1,1,1,1
taxManager,it.unimol.taxManager.model,Tax,21,49,1,3,7,18,7,8,6,7
taxManager,it.unimol.taxManager.model,Brackets,39,63,0,0,20,22,10,11,10,11
taxManager,it.unimol.taxManager.model,Student,13,19,0,0,6,8,4,3,4,3
taxManager,it.unimol.taxManager.util,TaxStatus,0,21,0,0,0,2,0,1,0,1
taxManager,it.unimol.taxManager.util,JWTToken,139,3,4,0,32,1,13,1,11,1
taxManager,it.unimol.taxManager.util,FlyingSaucerService,36,3,0,0,8,1,1,1,1,1
taxManager,it.unimol.taxManager.util,StudentStatus,3,67,0,0,1,12,1,2,1,2
taxManager,it.unimol.taxManager.client.gestioneUtenti.decoder,GestioneUtentiDecoder,76,8,14,0,15,2,8,1,1,1
taxManager,it.unimol.taxManager.controller,TaxController,8,6,0,0,2,3,1,1,1,1
taxManager,it.unimol.taxManager.controller,StudentController,30,6,0,0,5,3,4,1,4,1
taxManager,it.unimol.taxManager.controller,AdminController,43,9,0,0,7,4,6,1,6,1
taxManager,it.unimol.taxManager.client.gestioneUtenti,GestioneUtentiConfig,0,7,0,0,0,2,0,2,0,2
taxManager,it.unimol.taxManager.client.PagoPA,PagoPAConfig,0,7,0,0,0,2,0,2,0,2
taxManager,it.unimol.taxManager.client.reportAndAnalysisManager,ReportAndAnalysisConfig,0,7,0,0,0,2,0,2,0,2
taxManager,it.unimol.taxManager.client.reportAndAnalysisManager.decoder,ReportAndAnalysisDecoder,76,8,14,0,15,2,8,1,1,1
